category,path,line,excerpt,classification
NaN/Inf coercion,experiments/first_order_three_way/generate_report.py,223,steady = [value for value in steady if math.isfinite(value)],manual_review
NaN/Inf coercion,experiments/first_order_three_way/generate_report.py,418,"and math.isfinite(number(row[""exact_inflation_ratio""]))",manual_review
NaN/Inf coercion,experiments/first_order_three_way/generate_report.py,438,and math.isfinite(ratio),manual_review
except Exception,experiments/first_order_three_way/run_diffreach.py,491,except Exception as exc:,manual_review
hard-coded repository paths,experiments/first_order_three_way/run_diffreach.py,25,"DIFFREACH_ROOT = Path(os.environ.get(""DIFFREACH_ROOT"", ""/srv/local/shengenli/DiffReach"")).resolve()",manual_review
NaN/Inf coercion,experiments/first_order_three_way/run_diffreach.py,344,"finite_by_step = np.all(np.isfinite(endpoint_lo_np[1:]), axis=1) & np.all(",manual_review
NaN/Inf coercion,experiments/first_order_three_way/run_diffreach.py,345,"np.isfinite(endpoint_hi_np[1:]), axis=1",manual_review
hard-coded repository paths,experiments/first_order_three_way/run_flowstar.py,33,"FLOWSTAR_ROOT_DEFAULT = Path(""/srv/local/shengenli/flowstar"")",manual_review
hard-coded repository paths,experiments/first_order_three_way/run_flowstar.py,281,"git_commit=git_sha(Path(""/srv/local/shengenli/flowstar"")),",manual_review
NaN/Inf coercion,experiments/first_order_three_way/run_flowstar.py,44,if not math.isfinite(float(value)):,manual_review
except Exception,experiments/first_order_three_way/run_torch.py,350,except Exception as exc:,manual_review
NaN/Inf coercion,experiments/first_order_three_way/run_torch.py,52,math.isfinite(float(iv.lo.detach().cpu())),manual_review
NaN/Inf coercion,experiments/first_order_three_way/run_torch.py,53,and math.isfinite(float(iv.hi.detach().cpu())),manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,66,"assert flowstar == pytest.approx(expected, abs=1e-14)",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,67,"assert torch_values == pytest.approx(expected, abs=1e-14)",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,71,"assert spec[""systems""][""riccati""][""state_names""] == [""x""]",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,72,"assert spec[""systems""][""riccati""][""initial_box""] == [[0.0, 0.1]]",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,73,"assert spec[""systems""][""harmonic""][""state_names""] == [""x1"", ""x2""]",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,74,"assert spec[""systems""][""harmonic""][""initial_box""] == [[-0.1, 0.1], [-0.1, 0.1]]",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,75,"assert spec[""systems""][""van_der_pol""][""state_names""] == [""x1"", ""x2""]",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,76,"assert spec[""systems""][""van_der_pol""][""initial_box""] == [[1.1, 1.4], [2.35, 2.45]]",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,84,"assert math.isclose(steps * h, horizon, rel_tol=0.0, abs_tol=1e-12)",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,98,"assert result.status == ""validated""",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,100,assert segment.order == 1,manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,101,assert all(model.polynomial.degree() <= 1 for model in segment.tm),manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,102,assert all(model.polynomial.degree() <= 1 for model in segment.final_tm),manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,114,"assert ""setFixedStepsize(0.01, 1)"" in source",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,115,"assert ""setAdaptiveStepsize"" not in source",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,116,"assert ""setFixedStepsize(0.01, 1,"" not in source",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,117,"assert ""FLOWSTAR_UNSUPPORTED_ORDER"" in source",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,131,assert reader.fieldnames == RAW_FIELDS,manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,133,assert rows,manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,134,"assert all(row[""status""] for row in rows)",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,135,"assert all(row[""requested_order_label""] for row in rows)",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,136,"assert all(row[""retained_basis""] for row in rows)",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,137,"assert all(int(row[""number_of_states""]) >= 1 for row in rows)",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,138,"assert all(int(row[""number_of_steps""]) >= 1 for row in rows)",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,155,assert exact_checks,manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,158,"assert status_by_run[check[""run_id""]] == ""sample_violation""",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,160,"assert status_by_run[check[""run_id""]] == ""certified_ok""",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,177,assert sample_checks,manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,180,"assert status_by_run[check[""run_id""]] == ""sample_violation""",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,182,"assert status_by_run[check[""run_id""]] in {""certified_ok"", ""sample_violation""}",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,183,"assert checks[""sample_checks_are_formal_proof""] is False",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,192,assert run_ids,manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,193,"assert all((directory / ""per_run"" / f""{run_id}.json"").is_file() for run_id in run_ids)",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,200,assert png_stems == pdf_stems,manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,201,"assert {""representation_semantics"", ""failure_horizon_van_der_pol""} <= png_stems",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,212,"assert f""enclosure_{prefix}"" in png_stems",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,213,"assert f""width_linear_{prefix}"" in png_stems",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,214,"assert f""width_log_{prefix}"" in png_stems",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,217,assert (,manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,247,assert all(heading in report for heading in required),manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,252,assert riccati is not None,manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,253,"assert riccati[0] == pytest.approx((0.0, 1.0 / 9.0))",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,255,assert harmonic is not None,manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,256,"assert harmonic[0] == pytest.approx((-0.1, 0.1))",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_benchmark.py,257,"assert harmonic[1] == pytest.approx((-0.1, 0.1))",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_diffreach_support.py,54,"assert support[""after_dynamics_evaluation""][""nonzero_L_support""]",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_diffreach_support.py,55,"assert support[""after_time_integration""][""nonzero_Lt""] is True",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_diffreach_support.py,56,"assert support[""after_time_integration""][""effective_max_degree""] == 2",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_diffreach_support.py,58,"assert support[""final_flowpipe_segment""][""nonzero_Lt""] is False",manual_review
assert runtime validation,experiments/first_order_three_way/tests/test_diffreach_support.py,60,"assert support[""final_flowpipe_segment""][""nonzero_Lt""] is True",manual_review
hard-coded repository paths,experiments/first_order_three_way/tests/test_diffreach_support.py,13,"DIFFREACH_ROOT = Path(""/srv/local/shengenli/DiffReach"")",manual_review
NaN/Inf coercion,experiments/flowstar_acceptance_predicate_audit.py,69,if not math.isfinite(value):,manual_review
NaN/Inf coercion,experiments/flowstar_acceptance_predicate_audit.py,82,return out if math.isfinite(out) else None,manual_review
silent fallback,experiments/flowstar_acceptance_predicate_audit.py,80,"except (TypeError, ValueError):",manual_review
pass,experiments/flowstar_benchmark_failure_diagnostics.py,124,pass,manual_review
except Exception,experiments/flowstar_benchmark_failure_diagnostics.py,654,except Exception:,manual_review
NaN/Inf coercion,experiments/flowstar_benchmark_failure_diagnostics.py,170,return f if math.isfinite(f) else None,manual_review
silent fallback,experiments/flowstar_benchmark_failure_diagnostics.py,168,"except (TypeError, ValueError):",manual_review
hard-coded repository paths,experiments/flowstar_benchmark_parity.py,1245,- Original Flow*: `/srv/local/shengenli/flowstar/benchmarks/continuous/vanderpol`,manual_review
hard-coded repository paths,experiments/flowstar_benchmark_parity.py,1282,"parser.add_argument(""--flowstar-root"", default=None, help=""Flow* repository root; defaults to FLOWSTAR_ROOT or /srv/local/shengenli/flowstar"")",manual_review
hard-coded repository paths,experiments/flowstar_benchmark_parity.py,1287,"explicit = args.flowstar_root or str(Path(""/srv/local/shengenli/flowstar""))",manual_review
NaN/Inf coercion,experiments/flowstar_benchmark_parity.py,167,"return f""{value:.17g}"" if math.isfinite(value) else """"",manual_review
NaN/Inf coercion,experiments/flowstar_benchmark_parity.py,1155,"return f""{f:.6g}"" if math.isfinite(f) else ""n/a""",manual_review
except Exception,experiments/flowstar_benchmark_stage2_diagnostics.py,260,except Exception:,manual_review
except Exception,experiments/flowstar_benchmark_stage2_diagnostics.py,394,except Exception as exc:,manual_review
except Exception,experiments/flowstar_benchmark_stage2_diagnostics.py,433,except Exception as exc:,manual_review
NaN/Inf coercion,experiments/flowstar_benchmark_stage2_diagnostics.py,234,if math.isinf(float(window)):,manual_review
NaN/Inf coercion,experiments/flowstar_benchmark_stage2_diagnostics.py,375,and math.isfinite(_width_value(poly_range)),manual_review
NaN/Inf coercion,experiments/flowstar_benchmark_stage2_diagnostics.py,376,and math.isfinite(_width_value(remainder)),manual_review
NaN/Inf coercion,experiments/flowstar_benchmark_stage2_diagnostics.py,377,and math.isfinite(_width_value(total_range)),manual_review
NaN/Inf coercion,experiments/flowstar_benchmark_stage2_diagnostics.py,556,reset_after_segment = math.isfinite(window_number) and accepted_since_reset_next >= window_number,manual_review
NaN/Inf coercion,experiments/flowstar_benchmark_stage2_diagnostics.py,759,reset_after_segment = math.isfinite(window_number) and accepted_since_reset_next >= window_number,manual_review
NaN/Inf coercion,experiments/flowstar_benchmark_stage2_diagnostics.py,840,"""min_h_used"": """" if math.isinf(min_h_used) else min_h_used,",manual_review
except Exception,experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py,153,except Exception:,manual_review
except Exception,experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py,163,except Exception:,manual_review
except Exception,experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py,279,except Exception as exc:,manual_review
except Exception,experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py,293,except Exception as exc:,manual_review
except Exception,experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py,333,except Exception as exc:,manual_review
except Exception,experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py,879,except Exception:,manual_review
NaN/Inf coercion,experiments/flowstar_benchmark_symbolic_remainder_diagnostics.py,155,"return value if math.isfinite(value) else """"",manual_review
NaN/Inf coercion,experiments/flowstar_box_lifecycle_alignment_audit.py,107,if not math.isfinite(value):,manual_review
NaN/Inf coercion,experiments/flowstar_box_lifecycle_alignment_audit.py,120,return out if math.isfinite(out) else None,manual_review
silent fallback,experiments/flowstar_box_lifecycle_alignment_audit.py,118,"except (TypeError, ValueError):",manual_review
except Exception,experiments/flowstar_checkpoint_replay.py,348,except Exception:,manual_review
NaN/Inf coercion,experiments/flowstar_checkpoint_replay.py,59,"return f""{value:.17g}"" if math.isfinite(value) else """"",manual_review
NaN/Inf coercion,experiments/flowstar_checkpoint_replay.py,84,return f if math.isfinite(f) else None,manual_review
silent fallback,experiments/flowstar_checkpoint_replay.py,82,"except (TypeError, ValueError):",manual_review
assert runtime validation,experiments/flowstar_endpoint_pre_center_source_audit.py,249,assert all(value is not None for value in vals.values()),manual_review
assert runtime validation,experiments/flowstar_endpoint_pre_center_source_audit.py,397,assert trace_row is not None,manual_review
assert runtime validation,experiments/flowstar_endpoint_pre_center_source_audit.py,400,assert trace_row is not None,manual_review
NaN/Inf coercion,experiments/flowstar_endpoint_pre_center_source_audit.py,81,if not math.isfinite(value):,manual_review
NaN/Inf coercion,experiments/flowstar_endpoint_pre_center_source_audit.py,94,return out if math.isfinite(out) else None,manual_review
silent fallback,experiments/flowstar_endpoint_pre_center_source_audit.py,92,"except (TypeError, ValueError):",manual_review
except Exception,experiments/flowstar_insertion_width_attribution.py,216,except Exception:,manual_review
NaN/Inf coercion,experiments/flowstar_insertion_width_attribution.py,34,"return f""{value:.17g}"" if math.isfinite(value) else """"",manual_review
NaN/Inf coercion,experiments/flowstar_insertion_width_attribution.py,59,return f if math.isfinite(f) else None,manual_review
silent fallback,experiments/flowstar_insertion_width_attribution.py,57,"except (TypeError, ValueError):",manual_review
hard-coded repository paths,experiments/flowstar_internal_intermediate_ranges_audit.py,23,"""/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h::TaylorModelVec<DATA_TYPE>::Picard_ctrunc_normal(... Expression ..., intermediate_ranges, Global_Setting)"",",manual_review
hard-coded repository paths,experiments/flowstar_internal_intermediate_ranges_audit.py,24,"""/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h::TaylorModelVec<DATA_TYPE>::Picard_ctrunc_normal_remainder(... Expression ..., intermediate_ranges, Global_Setting)"",",manual_review
hard-coded repository paths,experiments/flowstar_internal_intermediate_ranges_audit.py,25,"""/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h::TaylorModel<DATA_TYPE>::mul_insert_ctrunc_normal(... Interval &tm1, Interval &intTrunc ...)"",",manual_review
hard-coded repository paths,experiments/flowstar_internal_intermediate_ranges_audit.py,26,"""/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h::HornerForm<DATA_TYPE>::insert_ctrunc_normal(... intermediate_ranges ...)"",",manual_review
hard-coded repository paths,experiments/flowstar_internal_intermediate_ranges_audit.py,27,"""/srv/local/shengenli/flowstar/flowstar-toolbox/expression.h::AST_Node<DATA_TYPE>::evaluate(... intermediate_ranges ...)"",",manual_review
hard-coded repository paths,experiments/flowstar_internal_intermediate_ranges_audit.py,28,"""/srv/local/shengenli/flowstar/flowstar-toolbox/expression.h::AST_Node<DATA_TYPE>::evaluate_remainder(... iterator over intermediate_ranges ...)"",",manual_review
hard-coded repository paths,experiments/flowstar_internal_intermediate_ranges_audit.py,29,"""/srv/local/shengenli/flowstar/flowstar-toolbox/Continuous.cpp::advance/result constructions around Picard_ctrunc_normal"",",manual_review
hard-coded repository paths,experiments/flowstar_internal_intermediate_ranges_audit.py,30,"""/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.cpp::not present in this checkout; relevant template implementations are in TaylorModel.h"",",manual_review
NaN/Inf coercion,experiments/flowstar_internal_intermediate_ranges_audit.py,141,if not math.isfinite(value):,manual_review
NaN/Inf coercion,experiments/flowstar_internal_intermediate_ranges_audit.py,154,return out if math.isfinite(out) else None,manual_review
silent fallback,experiments/flowstar_internal_intermediate_ranges_audit.py,152,"except (TypeError, ValueError):",manual_review
except Exception,experiments/flowstar_normalized_insertion_h10_failure.py,290,except Exception:,manual_review
NaN/Inf coercion,experiments/flowstar_normalized_insertion_h10_failure.py,97,"return f""{value:.17g}"" if math.isfinite(value) else str(value)",manual_review
NaN/Inf coercion,experiments/flowstar_normalized_insertion_h10_failure.py,108,return out if math.isfinite(out) else None,manual_review
silent fallback,experiments/flowstar_normalized_insertion_h10_failure.py,106,"except (TypeError, ValueError):",manual_review
pass,experiments/flowstar_one_step_oracle.py,493,pass,manual_review
except Exception,experiments/flowstar_one_step_oracle.py,492,except Exception:,manual_review
NaN/Inf coercion,experiments/flowstar_one_step_oracle.py,92,"return f""{value:.17g}"" if math.isfinite(value) else """"",manual_review
NaN/Inf coercion,experiments/flowstar_one_step_oracle.py,117,return f if math.isfinite(f) else None,manual_review
silent fallback,experiments/flowstar_one_step_oracle.py,115,"except (TypeError, ValueError):",manual_review
silent fallback,experiments/flowstar_one_step_oracle.py,492,except Exception:,manual_review
NaN/Inf coercion,experiments/flowstar_picard_residual_source_audit.py,91,if not math.isfinite(value):,manual_review
NaN/Inf coercion,experiments/flowstar_picard_residual_source_audit.py,104,return out if math.isfinite(out) else None,manual_review
silent fallback,experiments/flowstar_picard_residual_source_audit.py,102,"except (TypeError, ValueError):",manual_review
NaN/Inf coercion,experiments/flowstar_queue_state_audit.py,123,"return f""{value:.17g}"" if math.isfinite(value) else str(value)",manual_review
NaN/Inf coercion,experiments/flowstar_queue_state_audit.py,134,return f if math.isfinite(f) else None,manual_review
silent fallback,experiments/flowstar_queue_state_audit.py,132,"except (TypeError, ValueError):",manual_review
NaN/Inf coercion,experiments/flowstar_raw_ctrunc_residual_audit.py,98,if not math.isfinite(value):,manual_review
NaN/Inf coercion,experiments/flowstar_raw_ctrunc_residual_audit.py,111,return out if math.isfinite(out) else None,manual_review
silent fallback,experiments/flowstar_raw_ctrunc_residual_audit.py,109,"except (TypeError, ValueError):",manual_review
except Exception,experiments/flowstar_raw_remainder_compat_experiment.py,150,except Exception:,manual_review
NaN/Inf coercion,experiments/flowstar_raw_remainder_compat_experiment.py,71,if not math.isfinite(value):,manual_review
NaN/Inf coercion,experiments/flowstar_raw_remainder_compat_experiment.py,84,return out if math.isfinite(out) else None,manual_review
silent fallback,experiments/flowstar_raw_remainder_compat_experiment.py,82,"except (TypeError, ValueError):",manual_review
silent fallback,experiments/flowstar_raw_remainder_compat_experiment.py,141,"except (TypeError, ValueError):",manual_review
silent fallback,experiments/flowstar_raw_remainder_compat_experiment.py,150,except Exception:,manual_review
except Exception,experiments/flowstar_raw_remainder_compat_h10_right_map_centering.py,354,except Exception as exc:,manual_review
truthiness on string status,experiments/flowstar_raw_remainder_compat_h10_right_map_centering.py,446,"reached_h10 = bool(status == ""completed"" and t >= horizon - 1e-9)",manual_review
except Exception,experiments/flowstar_raw_remainder_compat_h5.py,436,except Exception as exc:,manual_review
truthiness on string status,experiments/flowstar_raw_remainder_compat_h5.py,505,"""completed_h5"": bool(status == ""completed"" and t >= horizon - 1e-9),",manual_review
except Exception,experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py,307,except Exception:,manual_review
except Exception,experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py,394,except Exception:,manual_review
assert runtime validation,experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py,220,assert all(value is not None for value in vals),manual_review
NaN/Inf coercion,experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py,113,return out if math.isfinite(out) else None,manual_review
silent fallback,experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py,111,"except (TypeError, ValueError):",manual_review
silent fallback,experiments/flowstar_raw_remainder_compat_h5_divergence_audit.py,307,except Exception:,manual_review
except Exception,experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py,555,except Exception as exc:,manual_review
assert runtime validation,experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py,361,assert target_lo is not None and target_hi is not None and check_lo is not None and check_hi is not None,manual_review
truthiness on string status,experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py,635,"""reached_horizon"": bool(status == ""completed"" and t >= horizon - 1e-9),",manual_review
truthiness on string status,experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py,816,"""range_midpoint_validation_failure_recorded"": bool(rng and rng.get(""status"") != ""validated""),",manual_review
NaN/Inf coercion,experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py,261,return out if math.isfinite(out) else None,manual_review
silent fallback,experiments/flowstar_raw_remainder_compat_h5_right_map_centering.py,259,"except (TypeError, ValueError):",manual_review
except Exception,experiments/flowstar_raw_remainder_compat_h5_width_attribution.py,304,except Exception:,manual_review
except Exception,experiments/flowstar_raw_remainder_compat_h5_width_attribution.py,320,except Exception:,manual_review
assert runtime validation,experiments/flowstar_raw_remainder_compat_h5_width_attribution.py,212,assert all(value is not None for value in values),manual_review
NaN/Inf coercion,experiments/flowstar_raw_remainder_compat_h5_width_attribution.py,153,return out if math.isfinite(out) else None,manual_review
silent fallback,experiments/flowstar_raw_remainder_compat_h5_width_attribution.py,151,"except (TypeError, ValueError):",manual_review
silent fallback,experiments/flowstar_raw_remainder_compat_h5_width_attribution.py,320,except Exception:,manual_review
except Exception,experiments/flowstar_raw_remainder_compat_short_horizon.py,169,except Exception:,manual_review
silent fallback,experiments/flowstar_raw_remainder_compat_short_horizon.py,169,except Exception:,manual_review
hard-coded repository paths,experiments/flowstar_raw_remainder_partition_audit.py,23,"""/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h::TaylorModelVec<DATA_TYPE>::Picard_ctrunc_normal(... Expression ..., intermediate_ranges, Global_Setting)"",",manual_review
hard-coded repository paths,experiments/flowstar_raw_remainder_partition_audit.py,24,"""/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h::TaylorModelVec<DATA_TYPE>::Picard_ctrunc_normal_remainder(... Expression ..., intermediate_ranges, Global_Setting)"",",manual_review
hard-coded repository paths,experiments/flowstar_raw_remainder_partition_audit.py,25,"""/srv/local/shengenli/flowstar/flowstar-toolbox/expression.h::AST_Node<DATA_TYPE>::evaluate(... step_exp_table ..., intermediate_ranges, Global_Setting)"",",manual_review
hard-coded repository paths,experiments/flowstar_raw_remainder_partition_audit.py,26,"""/srv/local/shengenli/flowstar/flowstar-toolbox/TaylorModel.h::HornerForm<DATA_TYPE>::insert_ctrunc_normal(... intermediate_ranges ...)"",",manual_review
NaN/Inf coercion,experiments/flowstar_raw_remainder_partition_audit.py,122,if not math.isfinite(value):,manual_review
NaN/Inf coercion,experiments/flowstar_raw_remainder_partition_audit.py,135,return out if math.isfinite(out) else None,manual_review
silent fallback,experiments/flowstar_raw_remainder_partition_audit.py,133,"except (TypeError, ValueError):",manual_review
except Exception,experiments/flowstar_right_map_scaling_diagnostics.py,455,except Exception:,manual_review
NaN/Inf coercion,experiments/flowstar_right_map_scaling_diagnostics.py,62,"return f""{value:.17g}"" if math.isfinite(value) else """"",manual_review
NaN/Inf coercion,experiments/flowstar_right_map_scaling_diagnostics.py,87,return f if math.isfinite(f) else None,manual_review
silent fallback,experiments/flowstar_right_map_scaling_diagnostics.py,85,"except (TypeError, ValueError):",manual_review
assert runtime validation,experiments/flowstar_same_source_endpoint_tube_compare.py,413,assert flow is not None and noqueue is not None and v2 is not None,manual_review
NaN/Inf coercion,experiments/flowstar_same_source_endpoint_tube_compare.py,103,if not math.isfinite(value):,manual_review
NaN/Inf coercion,experiments/flowstar_same_source_endpoint_tube_compare.py,116,return out if math.isfinite(out) else None,manual_review
silent fallback,experiments/flowstar_same_source_endpoint_tube_compare.py,114,"except (TypeError, ValueError):",manual_review
except Exception,experiments/flowstar_step_trace_compare.py,565,except Exception:,manual_review
hard-coded repository paths,experiments/flowstar_step_trace_compare.py,1991,"The probe links against `/srv/local/shengenli/flowstar/flowstar-toolbox/libflowstar.a` and mirrors the local Van der Pol adaptive symbolic-remainder step path with original Flow* settings: adaptive step `0.002..0.1`, order `4`, cutoff `1e-1",manual_review
hard-coded repository paths,experiments/flowstar_step_trace_compare.py,2013,"parser.add_argument(""--flowstar-root"", default=""/srv/local/shengenli/flowstar"")",manual_review
truthiness on string status,experiments/flowstar_step_trace_compare.py,1136,"accepted = bool(seg.status == ""validated"" and attempt == accepted_attempt)",manual_review
truthiness on string status,experiments/flowstar_step_trace_compare.py,1267,"accepted = bool(seg.status == ""validated"" and attempt == accepted_attempt)",manual_review
NaN/Inf coercion,experiments/flowstar_step_trace_compare.py,476,if not math.isfinite(out):,manual_review
NaN/Inf coercion,experiments/flowstar_step_trace_compare.py,487,if not math.isfinite(value):,manual_review
NaN/Inf coercion,experiments/flowstar_step_trace_compare.py,552,return out if math.isfinite(out) else None,manual_review
silent fallback,experiments/flowstar_step_trace_compare.py,474,"except (TypeError, ValueError):",manual_review
silent fallback,experiments/flowstar_step_trace_compare.py,550,"except (TypeError, ValueError):",manual_review
silent fallback,experiments/flowstar_step_trace_compare.py,565,except Exception:,manual_review
silent fallback,experiments/flowstar_step_trace_compare.py,569,except TypeError:,manual_review
silent fallback,experiments/flowstar_step_trace_compare.py,687,"except (TypeError, ValueError):",manual_review
pass,experiments/flowstar_style_failure_localization.py,164,pass,manual_review
except Exception,experiments/flowstar_style_failure_localization.py,199,except Exception:,manual_review
except Exception,experiments/flowstar_style_failure_localization.py,208,except Exception:,manual_review
except Exception,experiments/flowstar_style_failure_localization.py,215,except Exception:,manual_review
except Exception,experiments/flowstar_style_failure_localization.py,348,except Exception as exc:,manual_review
except Exception,experiments/flowstar_style_failure_localization.py,413,except Exception as exc:,manual_review
except Exception,experiments/flowstar_style_failure_localization.py,697,except Exception:,manual_review
except Exception,experiments/flowstar_style_failure_localization.py,818,except Exception:,manual_review
NaN/Inf coercion,experiments/flowstar_style_failure_localization.py,201,"return w if math.isfinite(w) else """"",manual_review
NaN/Inf coercion,experiments/flowstar_style_failure_localization.py,217,"return value if math.isfinite(value) else """"",manual_review
pass,experiments/flowstar_style_rescue_vanderpol.py,628,pass,manual_review
except Exception,experiments/flowstar_style_rescue_vanderpol.py,1826,except Exception:,manual_review
except Exception,experiments/flowstar_style_rescue_vanderpol.py,2176,except Exception:,manual_review
except Exception,experiments/flowstar_style_rescue_vanderpol.py,3098,except Exception:,manual_review
except Exception,experiments/flowstar_style_rescue_vanderpol.py,3378,except Exception:,manual_review
except Exception,experiments/flowstar_style_rescue_vanderpol.py,3609,except Exception:,manual_review
except Exception,experiments/flowstar_style_rescue_vanderpol.py,3762,except Exception:,manual_review
except Exception,experiments/flowstar_style_rescue_vanderpol.py,3930,except Exception:,manual_review
except Exception,experiments/flowstar_style_rescue_vanderpol.py,4112,except Exception:,manual_review
except Exception,experiments/flowstar_style_rescue_vanderpol.py,4378,except Exception:,manual_review
except Exception,experiments/flowstar_style_rescue_vanderpol.py,4579,except Exception:,manual_review
except Exception,experiments/flowstar_style_rescue_vanderpol.py,4680,except Exception:,manual_review
except Exception,experiments/flowstar_style_rescue_vanderpol.py,4805,except Exception:,manual_review
except Exception,experiments/flowstar_style_rescue_vanderpol.py,4922,except Exception:,manual_review
NaN/Inf coercion,experiments/flowstar_style_rescue_vanderpol.py,646,if math.isfinite(value):,manual_review
NaN/Inf coercion,experiments/flowstar_style_rescue_vanderpol.py,659,return f if math.isfinite(f) else None,manual_review
silent fallback,experiments/flowstar_style_rescue_vanderpol.py,657,"except (TypeError, ValueError):",manual_review
NaN/Inf coercion,experiments/flowstar_symbolic_step_trace.py,62,"return f""{value:.17g}"" if math.isfinite(value) else """"",manual_review
NaN/Inf coercion,experiments/flowstar_symbolic_step_trace.py,87,return f if math.isfinite(f) else None,manual_review
silent fallback,experiments/flowstar_symbolic_step_trace.py,85,"except (TypeError, ValueError):",manual_review
NaN/Inf coercion,experiments/flowstar_validation_candidate_decomposition_audit.py,106,if not math.isfinite(value):,manual_review
NaN/Inf coercion,experiments/flowstar_validation_candidate_decomposition_audit.py,119,return out if math.isfinite(out) else None,manual_review
